/*Input data*/
data;

param V_numb := 10;
param E_numb := 16;
param D_numb := 2;

param: h  s t :=
1      10 1 10
2      10 2 8
;

# first index stands for edge,
# second one for vertex, aed

param B :=
1,2     1
2,3     1
3,3     1
4,4     1
5,6     1
6,6     1
7,6     1
8,5     1
9,7     1
10,7    1
11,9    1
12,9    1
13,8    1
14,8    1
15,10   1
16,10   1
;



param A :=
1,1     1
2,1     1
3,2     1
4,3     1
5,3     1
6,4     1
7,2     1
8,2     1
9,5     1
10,6    1
11,7    1
12,6    1
13,5    1
14,10   1
15,7    1
16,9    1
;

param KSI :=
1   30
2   90
3   10
4   10
5   10
6   10
7   35
8   40
9   10
10  15
11  45
12  50
13  30
14  35
15  25
16  90
;

end;
